Simulação,R1  (Ri),R4  (Rs),R2  (Ro),R3  (Rg),B_estimado
1,30,250,194.7082737,209.7482874,0.7333588185
2,30,250,169.2881682,186.3907619,0.838350276
3,30,250,139.3041849,159.6517715,0.9894048062
4,30,250,121.5699056,144.4377865,1.09180056
5,30,250,100.7612424,127.4200149,1.216861618
6,30,250,88.54163411,117.9942931,1.284776949
7,30,250,77.11677554,109.6814902,1.335252335
8,30,300,232.8009645,251.6979449,0.7321390579
9,30,300,202.1687829,223.6689143,0.8361082714
10,30,300,165.9763373,191.5821258,0.9848006436
11,30,300,144.5202699,173.3253438,1.084619371
12,30,300,119.2647151,152.9040178,1.204366241
13,30,300,104.3697954,141.5931517,1.26709244
14,30,300,90.3751945,131.6177883,1.31031531
15,30,350,271.0021609,293.6476024,0.7316552454
16,30,350,235.1736134,260.9470666,0.8350384351
17,30,350,192.7980436,223.5124801,0.9823403503
18,30,350,167.6404313,202.2129011,1.08061425
19,30,350,137.9693546,178.3880208,1.19712645
20,30,350,120.4228263,165.1920103,1.256650437
21,30,350,103.8851012,153.5540863,1.295339161